encuesta,puesto,antiguedad,razon_entrada,salario_bueno,prestaciones_bueno,jornada_no_excesiva,ofrecimiento_herramientas,no_molestia_temperatura,estres_bajo,facilidad_transporte,zona_trabajo_comoda,permanencia_form_futuro,sufrido_situaciones_conflicto,molestias_puesto,sentimiento_form,edad,genero,estado_civil,municipio,nivel_escolar,personas_dependientes,categoria_molestias,categoria_sentimiento
84,limpieza,2,salario,De Acuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,De Acuerdo,De Acuerdo,Desacuerdo,0,0,falta personal,comodo,42,femenino,soltero,apodaca,secundaria,0,Otros,Positivo
85,limpieza,36,ubicacion empresa,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,calor barrer afuera sol,comodo,51,femenino,soltero,apodaca,primaria,2,Condiciones Laborales,Positivo
86,ayudante general,6,ubicacion empresa,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,1,0,suficientes abanicos micros,comodo,20,masculino,soltero,apodaca,secundaria,0,Condiciones Laborales,Positivo
87,ayudante general,1,ambiente trabajo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Neutro,Desacuerdo,De Acuerdo,1,0,transporte,comoda,22,femenino,union libre,juarez,preparatoria,1,Equipamiento y Herramientas,Indefinido
88,supervisor,36,ambiente trabajo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Neutro,De Acuerdo,De Acuerdo,0,0,bien,contento,33,femenino,union libre,apodaca,secundaria,2,Otros,Positivo
89,ayudante general,1,otro,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,bien,comodo comodo,45,femenino,soltero,apodaca,secundaria,1,Otros,Positivo
90,ayudante general,1,ubicacion empresa,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,0,0,prestaciones,comodo,28,masculino,soltero,apodaca,secundaria,1,Salario y Prestaciones,Positivo
91,administrativo,25,razones personales,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,negativas clientes capacidad produccion aveces llena tiempos respuesta proveedores,contento proactivo optimista,56,masculino,casado,monterrey,licenciatura,3,Otros,Positivo
92,enfermera,5,otro,Neutro,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,0,0,orden horarios,comoda,28,femenino,soltero,guadalupe,preparatoria,3,Horario,Indefinido
93,administrativo,36,razones personales,Neutro,Neutro,De Acuerdo,De Acuerdo,De Acuerdo,Neutro,De Acuerdo,De Acuerdo,0,0,desacuerdos falta comucicacion,contento capaz,34,femenino,union libre,apodaca,licenciatura,1,Ambiente Laboral,Positivo
